epoch,iteration,top1,top_5_mean,mean_value
0,0,2.4992567239309333,2.3648310348997965,2.1022054582220955
0,10,2.139391152716718,2.0085681450531903,1.753392395824056
0,20,1.8671407143836918,1.743331241843925,1.5062361416416465
0,30,1.4686608044751415,1.4324627936768235,1.2403349111571584
0,40,1.2497073004269457,1.2379284743198755,1.0794810803663681
0,50,1.1464295683130437,1.128364695840054,0.9773943221657422
0,60,1.0552900333436406,1.0442164362261939,0.901191677615099
0,70,0.9442299532577676,0.9298877984322556,0.8025725337356999
0,80,0.8915614358360308,0.8849764745319855,0.7653419219958963
0,90,0.8092666018145249,0.7811479349735062,0.6687764901305064
0,100,0.7752269250413274,0.7477394380106881,0.6426701331594237
0,110,0.7482537066428652,0.7355703982068399,0.6306452049155902
0,120,0.7205954947006084,0.713139028347366,0.6188745044782695
0,130,0.680756809204388,0.6722297836127022,0.5724122470324224
0,140,0.6679276132342501,0.6568401204876493,0.5528261303016522
0,150,0.6217728480029083,0.5959238538458657,0.5046513709917285
0,160,0.5904220486938383,0.5644878379681886,0.49005572804718484
0,170,0.5741296687531474,0.545544860011695,0.47564827783840413
0,180,0.5703764648555357,0.5284789599876609,0.4520395367719592
0,190,0.558003882982607,0.5275778325566975,0.45034648723672355
0,200,0.5492471533094797,0.5189672651887272,0.44336160879431685
0,210,0.5376159132949941,0.5028192999321736,0.43065853404429477
0,220,0.517954856103309,0.4892523107514162,0.4195522584910751
0,230,0.5002173144612553,0.4571372239720395,0.38783624187930194
0,240,0.5002615463778686,0.4605910104432446,0.3906329741001725
0,250,0.4814284005725076,0.44826484270662503,0.38033147301370923
0,260,0.4743612012286807,0.43059450859290793,0.36015553545308054
0,270,0.46640919047073187,0.420956080950902,0.3528855314510711
0,280,0.45547067631192806,0.41995079508465877,0.3515171952969092
0,290,0.45682796550267535,0.42143933622799334,0.35582158627950977
0,300,0.4491717535763495,0.4168659947743598,0.3519833467198293
0,310,0.43401649225991557,0.4042957791752605,0.3379346106803141
0,320,0.42575665117568606,0.38829762237464877,0.3336183665222191
0,330,0.42464526311742407,0.38840401131293173,0.32941458398664863
0,340,0.41527836804826174,0.38557110875591,0.3222274448257869
0,350,0.41461315453086456,0.36701063585510885,0.3079087517425993
0,360,0.40157948671762056,0.36895363607790516,0.3111614211259688
